t d dw dc
0.145 0.4559123129 0.1802822593 0.4559085981
0.1455 0.4565373936 0.1818063529 0.4565336736
0.146 0.4570502512 0.1833209537 0.457046527
0.1465 0.4574478505 0.1848178614 0.4574441231
0.147 0.4577272919 0.1862888317 0.4577235623
0.1475 0.4578858185 0.1877255947 0.4578820876
0.148 0.4579208218 0.1891198721 0.4579170906
0.1485 0.4578298484 0.1904633959 0.4578261179
0.149 0.4576106053 0.1917479256 0.4576068766
0.1495 0.4572609654 0.1929652668 0.4572572396
0.15 0.4567789728 0.1941072888 0.4567752508
0.1505 0.4561628467 0.1951659428 0.4561591298
0.151 0.4554109867 0.1961332794 0.4554072759
0.1515 0.4545219754 0.1970014662 0.4545182719
0.152 0.453494583 0.1977628055 0.4534908879
0.1525 0.4523277696 0.1984097514 0.4523240839
0.153 0.4510206879 0.1989349264 0.4510170129
0.1535 0.4495726858 0.1993311386 0.4495690226
0.154 0.4479833076 0.1995913975 0.4479796573
0.1545 0.4462522957 0.1997089301 0.4462486596
0.155 0.4443795914 0.1996771965 0.4443759705
0.1555 0.4423653353 0.199489905 0.4423617308
0.156 0.4402098672 0.1991410265 0.4402062803
0.1565 0.4379137261 0.1986248085 0.4379101579
0.157 0.4354776487 0.197935789 0.4354741004
0.1575 0.4329025688 0.1970688094 0.4328990415
0.158 0.430189615 0.1960190267 0.4301861098
0.1585 0.4273401089 0.1947819253 0.4273366268
0.159 0.4243555622 0.1933533282 0.4243521044
0.1595 0.4212376741 0.1917294075 0.4212342418
0.16 0.4179883277 0.1899066939 0.4179849218
0.1605 0.4146095861 0.1878820859 0.4146062078
0.161 0.4111036884 0.1856528582 0.4111003386
0.1615 0.407473045 0.1832166686 0.4074697249
0.162 0.4037202328 0.1805715656 0.4037169432
0.1625 0.3998479897 0.1777159936 0.3998447317
0.163 0.3958592091 0.1746487986 0.3958559836
0.1635 0.3917569338 0.171369232 0.3917537417
0.164 0.3875443499 0.1678769543 0.3875411921
0.1645 0.38322478 0.1641720378 0.3832216574
0.165 0.3788016763 0.1602549684 0.3787985897
0.1655 0.3742786135 0.1561266463 0.3742755637
0.166 0.3696592814 0.1517883861 0.3696562693
0.1665 0.3649474772 0.1472419164 0.3649445035
0.167 0.3601470975 0.1424893776 0.3601441629
0.1675 0.3552621304 0.1375333198 0.3552592357
0.168 0.350296647 0.1323766991 0.3502937927
0.1685 0.3452547932 0.1270228738 0.3452519799
0.169 0.3401407806 0.1214755987 0.340138009
0.1695 0.3349588784 0.1157390201 0.3349561491
0.17 0.3297134044 0.1098176681 0.3297107178
0.1705 0.3244087154 0.1037164499 0.3244060721
0.171 0.3190491994 0.09744064097 0.3190465997
0.1715 0.3136392654 0.09099587611 0.3136367098
0.172 0.3081833351 0.08438813959 0.3081808239
0.1725 0.3026858334 0.07762375453 0.302683367
0.173 0.2971511796 0.07070937154 0.2971487583
0.1735 0.2915837782 0.06365195671 0.2915814023
0.174 0.28598801 0.0564587789 0.2859856797
0.1745 0.2803682232 0.04913739637 0.2803659387
0.175 0.2747287247 0.04169564278 0.2747264862
0.1755 0.2690737712 0.03414161266 0.2690715787
0.176 0.2634075606 0.02648364621 0.2634054143
0.1765 0.2577342241 0.01873031363 0.257732124
0.177 0.2520578175 0.01089039896 0.2520557636
0.1775 0.2463823132 0.00297288339 0.2463803056
0.178 0.2407115927 -0.005013071813 0.2407096313
0.1785 0.2350494387 -0.0130581428 0.2350475235
0.179 0.229399528 -0.02115286103 0.2293976588
0.1795 0.2237654241 -0.0292876314 0.2237636008
0.18 0.2181505708 -0.03745275079 0.2181487933
0.1805 0.2125582854 -0.04563842677 0.2125565534
0.181 0.2069917526 -0.05383479653 0.2069900659
0.1815 0.2014540185 -0.06203194604 0.201452377
0.182 0.1959479853 -0.07021992929 0.1959463886
0.1825 0.1904764059 -0.07838878765 0.1904748538
0.183 0.1850418792 -0.08652856928 0.1850403714
0.1835 0.1796468454 -0.09462934857 0.1796453816
0.184 0.1742935822 -0.1026812455 0.174292162
0.1845 0.168984201 -0.1106744451 0.168982824
0.185 0.1637206433 -0.1185992164 0.1637193093
0.1855 0.1585046783 -0.1264459319 0.1585033868
0.186 0.1533379002 -0.1342050862 0.1533366507
0.1865 0.1482217258 -0.1418673147 0.1482205181
0.187 0.1431573934 -0.1494234121 0.1431562269
0.1875 0.1381459611 -0.1568643504 0.1381448355
0.188 0.1331883064 -0.1641812968 0.1331872212
0.1885 0.1282851254 -0.171365631 0.1282840801
0.189 0.1234369331 -0.1784089621 0.1234359273
0.1895 0.1186440639 -0.1853031452 0.1186430971
0.19 0.1139066723 -0.1920402974 0.1139057441
0.1905 0.1092247343 -0.1986128135 0.1092238444
0.191 0.1045980495 -0.2050133806 0.1045971972
0.1915 0.1000262425 -0.2112349928 0.1000254275
0.192 0.0955087662 -0.2172709648 0.09550798798
0.1925 0.0910449043 -0.223114945 0.09104416245
0.193 0.08663377491 -0.228760928 0.086633069
0.1935 0.08227433419 -0.2342032665 0.0822736638
0.194 0.07796538053 -0.2394366821 0.07796474525
0.1945 0.07370555905 -0.2444562755 0.07370495848
0.195 0.06949336642 -0.2492575365 0.06949280017
0.1955 0.06532715612 -0.2538363521 0.06532662382
0.196 0.06120514396 -0.258189015 0.06120464525
0.1965 0.05712541394 -0.26231223 0.05712494847
0.197 0.05308592442 -0.2662031211 0.05308549187
0.1975 0.04908451462 -0.2698592363 0.04908411467
